epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,57.1046,0.55933,0.49129,1.16645,0.96633,0.91847,0.995,0.94391,0.33419,0.40417,0.96937,0.00152837,0.00152837,0.00152837
44,58.3996,0.65017,0.49703,1.25424,0.7209,0.7845,0.96095,0.8603,0.50072,1.05273,1.12995,0.00152507,0.00152507,0.00152507
45,59.687,0.6354,0.48691,1.21561,0.76374,0.85882,0.98532,0.94578,0.32565,0.74764,0.9452,0.00152177,0.00152177,0.00152177
46,60.9837,0.65716,0.50729,1.2667,0.90587,0.95175,0.995,0.93303,0.42988,0.44836,1.04316,0.00151847,0.00151847,0.00151847
47,62.2794,0.59011,0.46186,1.17424,0.9776,0.99353,0.995,0.91346,0.41323,0.34088,1.01271,0.00151517,0.00151517,0.00151517
48,63.5703,0.54481,0.43413,1.16523,0.90591,1,0.995,0.94035,0.36224,0.41091,1.0032,0.00151187,0.00151187,0.00151187
49,64.8564,0.57618,0.45525,1.17049,0.93279,1,0.995,0.93695,0.35071,0.35314,1.01587,0.00150857,0.00150857,0.00150857
50,66.1472,0.54737,0.44473,1.13092,0.99315,1,0.995,0.9335,0.36011,0.28236,1.00442,0.00150527,0.00150527,0.00150527
51,67.444,0.5398,0.431,1.16477,0.99393,1,0.995,0.96467,0.3332,0.27089,0.94843,0.00150197,0.00150197,0.00150197
52,68.7453,0.55572,0.44516,1.1676,0.99524,1,0.995,0.88746,0.50136,0.31538,1.18215,0.00149867,0.00149867,0.00149867
53,70.0286,0.50636,0.40948,1.13683,0.99407,1,0.995,0.96015,0.34912,0.30062,0.96494,0.00149537,0.00149537,0.00149537
54,71.3264,0.54176,0.42728,1.15098,0.98815,0.99874,0.995,0.95758,0.30922,0.29994,0.91791,0.00149207,0.00149207,0.00149207
